index,weekPosition,previousPosition,pPosition,totalWeeks,titleArtist,entryDate,entryPosition,Ovreral_peakPosition,Overral_tW,artist,songs,WeekOf
0,1,1,1,8,"Thank U, Next                                               ARIANA GRANDE",11/17/18,1,1,8,             ARIANA GRANDE,"Thank U, Next",1/5/19
1,2,2,2,12,Without Me                                                  HALSEY,10/20/18,18,2,12,             HALSEY,Without Me,1/5/19
2,3,7,3,6,All I Want For Christmas Is You                             MARIAH CAREY,12/1/18,29,3,6,             MARIAH CAREY,All I Want For Christmas Is You,1/5/19
3,4,3,1,21,Sicko Mode                                                  TRAVIS SCOTT,8/18/18,4,1,21,             TRAVIS SCOTT,Sicko Mode,1/5/19
4,5,4,4,10,Sunflower (Spider-Man: Into The Spider-Verse)               POST MALONE & SWAE LEE,11/3/18,9,4,10,             POST MALONE & SWAE LEE,Sunflower (Spider-Man: Into The Spider-Verse),1/5/19
5,6,6,5,19,High Hopes                                                  PANIC! AT THE DISCO,9/1/18,90,5,19,             PANIC! AT THE DISCO,High Hopes,1/5/19
6,7,5,3,19,Happier                                                     MARSHMELLO & BASTILLE,9/1/18,63,3,19,             MARSHMELLO & BASTILLE,Happier,1/5/19
7,8,13,8,5,Jingle Bell Rock                                            BOBBY HELMS,12/8/18,33,8,5,             BOBBY HELMS,Jingle Bell Rock,1/5/19
8,9,11,9,5,Rockin' Around The Christmas Tree                           BRENDA LEE,12/8/18,23,9,5,             BRENDA LEE,Rockin' Around The Christmas Tree,1/5/19
9,10,12,10,5,A Holly Jolly Christmas                                     BURL IVES,12/8/18,26,10,5,             BURL IVES,A Holly Jolly Christmas,1/5/19
10,11,17,11,5,The Christmas Song (Merry Christmas To You)                 NAT KING COLE,12/8/18,39,11,5,             NAT KING COLE,The Christmas Song (Merry Christmas To You),1/5/19
11,12,9,4,15,Drip Too Hard                                               LIL BABY & GUNNA,9/29/18,28,4,15,             LIL BABY & GUNNA,Drip Too Hard,1/5/19
12,13,10,10,5,It's The Most Wonderful Time Of The Year                    ANDY WILLIAMS,12/8/18,21,10,5,             ANDY WILLIAMS,It's The Most Wonderful Time Of The Year,1/5/19
13,14,15,1,31,Girls Like You                                              MAROON 5 featuring CARDI B,6/9/18,94,1,31,             MAROON 5 featuring CARDI B,Girls Like You,1/5/19
14,15,8,2,11,Zeze                                                        KODAK BLACK featuring TRAVIS SCOTT & OFFSET,10/27/18,2,2,11,             KODAK BLACK featuring TRAVIS SCOTT & OFFSET,Zeze,1/5/19
15,16,28,16,4,Rudolph The Red-Nosed Reindeer                              GENE AUTRY,12/15/18,36,16,4,             GENE AUTRY,Rudolph The Red-Nosed Reindeer,1/5/19
16,17,16,6,18,Mo Bamba                                                    SHECK WES,9/8/18,82,6,18,             SHECK WES,Mo Bamba,1/5/19
17,18,14,11,15,Wake Up In The Sky                                          GUCCI MANE & BRUNO MARS & KODAK BLACK,9/29/18,30,11,15,             GUCCI MANE & BRUNO MARS & KODAK BLACK,Wake Up In The Sky,1/5/19
18,19,30,13,10,Money                                                       CARDI B,11/3/18,54,13,10,             CARDI B,Money,1/5/19
19,20,32,20,4,"Let It Snow, Let It Snow, Let It Snow                       DEAN MARTIN",12/15/18,41,20,4,             DEAN MARTIN,"Let It Snow, Let It Snow, Let It Snow",1/5/19
20,21,18,16,24,"Eastside                                                    BENNY BLANCO, HALSEY & KHALID",7/28/18,56,16,24,"             BENNY BLANCO, HALSEY & KHALID",Eastside,1/5/19
21,22,19,12,19,Breathin'                                                   ARIANA GRANDE,9/1/18,22,12,19,             ARIANA GRANDE,Breathin',1/5/19
22,23,21,3,35,Better Now                                                  POST MALONE,5/12/18,7,3,35,             POST MALONE,Better Now,1/5/19
23,24,20,7,30,Youngblood                                                  5 SECONDS OF SUMMER,6/16/18,96,7,30,             5 SECONDS OF SUMMER,Youngblood,1/5/19
24,25,27,25,5,Last Christmas                                              WHAM!,12/8/18,43,25,5,             WHAM!,Last Christmas,1/5/19
25,26,33,26,3,Sleigh Ride                                                 THE RONETTES,12/22/18,41,26,3,             THE RONETTES,Sleigh Ride,1/5/19
26,27,23,2,33,Lucid Dreams                                                JUICE WRLD,5/26/18,74,2,33,             JUICE WRLD,Lucid Dreams,1/5/19
27,28,35,28,3,Here Comes Santa Claus (Down Santa Claus Lane)              GENE AUTRY,12/22/18,40,28,3,             GENE AUTRY,Here Comes Santa Claus (Down Santa Claus Lane),1/5/19
28,29,34,29,3,Feliz Navidad                                               JOSE FELICIANO,12/22/18,42,29,3,             JOSE FELICIANO,Feliz Navidad,1/5/19
29,30,25,11,13,"Taki Taki                                                   DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",10/13/18,27,11,13,"             DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",Taki Taki,1/5/19
30,31,26,5,11,MIA                                                         BAD BUNNY featuring DRAKE,10/27/18,5,5,11,             BAD BUNNY featuring DRAKE,MIA,1/5/19
