artist,songs,weekPosition,previousPosition,totalWeeks,entryPosition,OVR_peakPosition
             21 SAVAGE,1.5,86,0,1,86,86
             21 SAVAGE,A Lot,37,0,1,37,37
             21 SAVAGE,ASMR,95,0,1,95,95
             21 SAVAGE,All My Friends,67,0,1,67,67
             21 SAVAGE,Break Da Law,70,0,1,70,70
             21 SAVAGE,Can't Leave Without It,58,0,1,58,58
             21 SAVAGE,Gun Smoke,93,0,1,93,93
             21 SAVAGE,Monster,73,0,1,73,73
             21 SAVAGE,Out For The Night,88,0,1,88,88
             5 SECONDS OF SUMMER,Youngblood,24,20,30,96,7
             A BOOGIE WIT DA HOODIE,Look Back At It,66,96,3,95,66
             A BOOGIE WIT DA HOODIE featuring 6IX9INE,Swervin,57,0,1,57,57
             A BOOGIE WIT DA HOODIE featuring JUICE WRLD,Demons And Angels,94,0,1,94,94
             A BOOGIE WIT DA HOODIE featuring OFFSET & TYGA,Startender,65,0,1,65,65
             ANDY WILLIAMS,It's The Most Wonderful Time Of The Year,13,10,5,21,10
             ANUEL AA & ROMEO SANTOS,Ella Quiere Beber,92,80,8,86,79
             ARIANA GRANDE,Breathin',22,19,19,22,12
             ARIANA GRANDE,Imagine,71,24,2,24,24
             ARIANA GRANDE,"Thank U, Next",1,1,8,1,1
             AVA MAX,Sweet But Psycho,83,87,2,87,83
             BAD BUNNY featuring DRAKE,MIA,31,26,11,5,5
             BAZZI featuring CAMILA CABELLO,Beautiful,50,38,21,60,30
"             BENNY BLANCO, HALSEY & KHALID",Eastside,21,18,24,56,16
             BILLIE EILISH,When The Party's Over,82,77,10,65,52
             BILLIE EILISH & KHALID,Lovely,91,89,2,89,89
             BING CROSBY,White Christmas,34,48,2,48,34
             BOBBY HELMS,Jingle Bell Rock,8,13,5,33,8
             BRENDA LEE,Rockin' Around The Christmas Tree,9,11,5,23,9
             BURL IVES,A Holly Jolly Christmas,10,12,5,26,10
             CALBOY,Envy Me,98,91,2,91,91
             CAMILA CABELLO,Consequences,75,69,8,97,69
             CARDI B,Money,19,30,10,54,13
"             CARDI B, BAD BUNNY & J BALVIN",I Like It,39,40,38,8,1
             CHUCK BERRY,Run Rudolph Run,45,0,1,45,45
             DAN + SHAY,Speechless,41,36,16,95,33
             DARLENE LOVE,Christmas (Baby Please Come Home),43,50,2,50,43
             DEAN LEWIS,Be Alright,63,63,9,94,63
             DEAN MARTIN,"Let It Snow, Let It Snow, Let It Snow",20,32,4,41,20
             DIERKS BENTLEY featuring BROTHERS OSBORNE,Burning Man,80,65,10,100,65
"             DJ SNAKE featuring SELENA GOMEZ, OZUNA & CARDI B",Taki Taki,30,25,13,27,11
             DUSTIN LYNCH,Good Girl,89,72,7,93,72
             ELLA MAI,Trip,38,29,21,79,11
