currentWeekPosition,previousWeekPosition,peakPosition,Total Weeks,titleArtist,entryDate,entryPosition,,,Song Title,Artist,
1,1,1,3,In My Feelings                                              DRAKE,2018-07-14,6,1,22,In My Feelings,DRAKE,
2,2,1,15,"I Like It                                                   CARDI B, BAD BUNNY & J BALVIN",2018-04-21,8,1,38,I Like It," CARDI B, BAD BUNNY & J BALVIN",
3,3,3,8,Girls Like You                                              MAROON 5 featuring CARDI B,2018-06-09,94,1,31,Girls Like You,MAROON 5 featuring CARDI B,
4,4,1,15,Nice For What                                               DRAKE,2018-04-21,1,1,25,Nice For What, DRAKE,
5,5,5,16,Boo'd Up                                                    ELLA MAI,2018-04-14,78,5,35,Boo'd Up,ELLA MAI,
6,7,3,10,Lucid Dreams                                                JUICE WRLD,2018-05-26,74,2,33,Lucid Dreams,JUICE WRLD,
7,12,7,12,Better Now                                                  POST MALONE,2018-05-12,7,3,35,Better Now,POST MALONE,
8,8,3,13,No Tears Left To Cry                                        ARIANA GRANDE,2018-05-05,3,3,27,No Tears Left To Cry,ARIANA GRANDE,
9,9,1,21,Psycho                                                      POST MALONE featuring TY DOLLA $IGN,2018-03-10,2,1,39,Psycho,POST MALONE featuring TY DOLLA $IGN,
10,6,1,26,God's Plan                                                  DRAKE,2018-02-03,1,1,36,God's Plan,DRAKE,
11,NEW,11,1,God Is A Woman                                              ARIANA GRANDE,2018-07-28,11,8,22,God Is A Woman,ARIANA GRANDE,
12,15,12,19,Delicate                                                    TAYLOR SWIFT,2018-03-24,84,12,35,Delicate,TAYLOR SWIFT,
13,18,13,8,Taste                                                       TYGA featuring OFFSET,2018-06-09,82,8,29,Taste, TYGA featuring OFFSET,
14,13,5,25,"The Middle                                                  ZEDD, MAREN MORRIS & GREY",2018-02-10,23,5,40,The Middle,"ZEDD, MAREN MORRIS & GREY",
15,10,1,20,Sad!                                                        XXXTENTACION,2018-03-17,17,1,38,Sad!,XXXTENTACION,
16,17,6,10,Yes Indeed                                                  LIL BABY & DRAKE,2018-05-26,49,6,29,Yes Indeed,LIL BABY & DRAKE,
17,14,2,39,Meant To Be                                                 BEBE REXHA & FLORIDA GEORGIA LINE,2017-11-11,61,2,52,Meant To Be, BEBE REXHA & FLORIDA GEORGIA LINE,
18,20,11,23,Friends                                                     MARSHMELLO & ANNE-MARIE,2018-02-24,72,11,29,Friends, MARSHMELLO & ANNE-MARIE,
19,22,1,44,Perfect                                                     ED SHEERAN,2017-10-07,89,1,54,Perfect, ED SHEERAN,
20,11,2,3,Nonstop                                                     DRAKE,2018-07-14,2,2,22,Nonstop, DRAKE,
21,25,21,22,Love Lies                                                   KHALID & NORMANI,2018-03-03,43,9,45,Love Lies, KHALID & NORMANI,
