index,currentWeekPosition,previousWeekPosition,pPosition,Total Weeks,entryDate,entryPosition,Ovreral_peakPosition,Overral_tW,artist,songs
10,1,1,1,8,11/17/18,1,1,8,             ARIANA GRANDE,"Thank U, Next"
9,2,2,2,12,10/20/18,18,2,12,             HALSEY,Without Me
8,3,7,3,6,12/1/18,29,3,6,             MARIAH CAREY,All I Want For Christmas Is You
7,4,3,1,21,8/18/18,4,1,21,             TRAVIS SCOTT,Sicko Mode
6,5,4,4,10,11/3/18,9,4,10,             POST MALONE & SWAE LEE,Sunflower (Spider-Man: Into The Spider-Verse)
5,6,6,5,19,9/1/18,90,5,19,             PANIC! AT THE DISCO,High Hopes
4,7,5,3,19,9/1/18,63,3,19,             MARSHMELLO & BASTILLE,Happier
3,8,13,8,5,12/8/18,33,8,5,             BOBBY HELMS,Jingle Bell Rock
2,9,11,9,5,12/8/18,23,9,5,             BRENDA LEE,Rockin' Around The Christmas Tree
1,10,12,10,5,12/8/18,26,10,5,             BURL IVES,A Holly Jolly Christmas
